사업명,주관기관,지원금액,지원대상,지원기간,신청기간,사업목적
2025년 K-스타트업 스케일업 프로그램,중소벤처기업부,최대 5억원,성장단계 스타트업,12개월,2025-01-15~2025-02-15,스타트업 성장 지원
2025년 디지털 전환 지원사업,과학기술정보통신부,최대 3천만원,중소기업,6개월,2025-02-01~2025-03-01,디지털 전환 촉진
2025년 AI 기술개발 지원사업,과학기술정보통신부,최대 2억원,AI 기업,18개월,2025-01-20~2025-02-20,AI 기술 혁신
2025년 바이오헬스케어 지원사업,보건복지부,최대 10억원,바이오 기업,24개월,2025-02-10~2025-03-10,바이오헬스케어 발전
2025년 친환경 에너지 지원사업,산업통상자원부,최대 5억원,에너지 기업,12개월,2025-01-25~2025-02-25,친환경 에너지 확산
2025년 스마트팩토리 지원사업,산업통상자원부,최대 3억원,제조업체,18개월,2025-02-05~2025-03-05,스마트팩토리 구축
2025년 소상공인 디지털 지원사업,중소벤처기업부,최대 1천만원,소상공인,6개월,2025-01-10~2025-02-10,소상공인 디지털화
2025년 여성기업 지원사업,중소벤처기업부,최대 2억원,여성기업,12개월,2025-02-15~2025-03-15,여성기업 육성
2025년 사회적기업 지원사업,보건복지부,최대 5천만원,사회적기업,12개월,2025-01-30~2025-02-28,사회적기업 성장
2025년 청년창업 지원사업,중소벤처기업부,최대 3천만원,청년창업가,18개월,2025-02-20~2025-03-20,청년창업 활성화

